"","Species","LakeClass","Age","medianLength.mm","medianWeightAge.t.kg","medianWeightAge.t1.kg"
"1","Walleye","Complex Cool Clear",1,198.499130595056,0.0795469305943319,0.17752546023062
"2","Walleye","Complex Cool Clear",2,259.400623615878,0.17752546023062,0.312514524009263
"3","Walleye","Complex Cool Clear",3,313.213785684212,0.312514524009263,0.47754668895905
"4","Walleye","Complex Cool Clear",4,360.763628358886,0.47754668895905,0.664581902505177
"5","Walleye","Complex Cool Clear",5,402.77914001968,0.664581902505177,0.865810206409126
"6","Walleye","Complex Cool Clear",6,439.904462014877,0.865810206409126,1.0743073878897
"7","Walleye","Complex Cool Clear",7,472.708764015875,1.0743073878897,1.28430105740779
"8","Walleye","Complex Cool Clear",8,501.69496997826,1.28430105740779,1.49121192218517
"9","Walleye","Complex Cool Clear",9,527.307468487397,1.49121192218517,1.6915739270887
"10","Walleye","Complex Cool Clear",10,549.938925696104,1.6915739270887,1.88289701882006
"11","Walleye","Complex Cool Clear",11,569.936305303832,1.88289701882006,2.06351049188107
"12","Walleye","Complex Cool Clear",12,587.606187869844,2.06351049188107,2.23240843153415
"13","Walleye","Complex Cool Clear",13,603.219471010999,2.23240843153415,2.38910847839257
"14","Walleye","Complex Cool Clear",14,617.015522543046,2.38910847839257,2.53352885900681
"15","Walleye","Complex Cool Clear",15,629.205850237365,2.53352885900681,NA
"16","Walleye","Complex Cool Dark",1,193.906001135472,0.0741517406433217,0.168490375459247
"17","Walleye","Complex Cool Dark",2,254.923085331414,0.168490375459247,0.300919856699286
"18","Walleye","Complex Cool Dark",3,309.291331959237,0.300919856699286,0.465621242306469
"19","Walleye","Complex Cool Dark",4,357.735243698637,0.465621242306469,0.655325386050625
"20","Walleye","Complex Cool Dark",5,400.900376476963,0.655325386050625,0.862610828029454
"21","Walleye","Complex Cool Dark",6,439.36194204569,0.862610828029454,1.0806175392217
"22","Walleye","Complex Cool Dark",7,473.632473161495,1.0806175392217,1.30339220708292
"23","Walleye","Complex Cool Dark",8,504.168653516939,1.30339220708292,1.52600812751008
"24","Walleye","Complex Cool Dark",9,531.377403435323,1.52600812751008,1.74455338672059
"25","Walleye","Complex Cool Dark",10,555.621302426745,1.74455338672059,1.95604766126526
"26","Walleye","Complex Cool Dark",11,577.223420865457,1.95604766126526,2.1583256182487
"27","Walleye","Complex Cool Dark",12,596.471625174726,2.1583256182487,2.34991007950309
"28","Walleye","Complex Cool Dark",13,613.622413889383,2.34991007950309,2.52988841409675
"29","Walleye","Complex Cool Dark",14,628.904335714847,2.52988841409675,2.69779938186485
"30","Walleye","Complex Cool Dark",15,642.521035131126,2.69779938186485,NA
"31","Walleye","Complex Riverine",1,203.595770590838,0.0858329137171797,0.17715881332492
"32","Walleye","Complex Riverine",2,259.22191875565,0.17715881332492,0.304049508371385
"33","Walleye","Complex Riverine",3,310.359875220371,0.304049508371385,0.4642034106233
"34","Walleye","Complex Riverine",4,357.371769404373,0.4642034106233,0.653807016879509
"35","Walleye","Complex Riverine",5,400.590512341285,0.653807016879509,0.868278826160961
"36","Walleye","Complex Riverine",6,440.322154162313,0.868278826160961,1.10277683944145
"37","Walleye","Complex Riverine",7,476.848051366192,1.10277683944145,1.35253389613734
"38","Walleye","Complex Riverine",8,510.426859223114,1.35253389613734,1.61306893661232
"39","Walleye","Complex Riverine",9,541.296363421694,1.61306893661232,1.88031000839574
"40","Walleye","Complex Riverine",10,569.675163929637,1.88031000839574,2.15065554234793
"41","Walleye","Complex Riverine",11,595.764222992229,2.15065554234793,2.42099341101271
"42","Walleye","Complex Riverine",12,619.748288230675,2.42099341101271,2.68869200486938
"43","Walleye","Complex Riverine",13,641.797200917867,2.68869200486938,2.95157360855419
"44","Walleye","Complex Riverine",14,662.067098696,2.95157360855419,3.20787741046689
"45","Walleye","Complex Riverine",15,680.701521253021,3.20787741046689,NA
"46","Walleye","Complex Two Story",1,196.361952842604,0.0770051245138814,0.178581154510076
"47","Walleye","Complex Two Story",2,259.913802041789,0.178581154510076,0.3220537854067
"48","Walleye","Complex Two Story",3,316.368767655881,0.3220537854067,0.500770080248169
"49","Walleye","Complex Two Story",4,366.519364100354,0.500770080248169,0.706469955644789
"50","Walleye","Complex Two Story",5,411.069605100033,0.706469955644789,0.930788357731125
"51","Walleye","Complex Two Story",6,450.644886628877,0.930788357731125,1.16606345912407
"52","Walleye","Complex Two Story",7,485.800766214322,1.16606345912407,1.40571328478057
"53","Walleye","Complex Two Story",8,517.030761849994,1.40571328478057,1.6443527702162
"54","Walleye","Complex Two Story",9,544.77327999788,1.6443527702162,1.87776244150596
"55","Walleye","Complex Two Story",10,569.417769935198,1.87776244150596,2.10277929109234
"56","Walleye","Complex Two Story",11,591.310190840646,2.10277929109234,2.31715353830607
"57","Walleye","Complex Two Story",12,610.757868366954,2.31715353830607,2.51939736523367
"58","Walleye","Complex Two Story",13,628.033808876262,2.51939736523367,2.70864036398381
"59","Walleye","Complex Two Story",14,643.380531901539,2.70864036398381,2.88449924378235
"60","Walleye","Complex Two Story",15,657.013474634104,2.88449924378235,NA
"61","Walleye","Complex Warm Clear",1,213.865370236477,0.09948761128463,0.236160766355371
"62","Walleye","Complex Warm Clear",2,285.290110067989,0.236160766355371,0.417053957166253
"63","Walleye","Complex Warm Clear",3,344.83781307632,0.417053957166253,0.624358553995595
"64","Walleye","Complex Warm Clear",4,394.483481257026,0.624358553995595,0.84222783576868
"65","Walleye","Complex Warm Clear",5,435.873698588564,0.84222783576868,1.0585163863769
"66","Walleye","Complex Warm Clear",6,470.381242822157,1.0585163863769,1.26485992833336
"67","Walleye","Complex Warm Clear",7,499.150616017161,1.26485992833336,1.45610077023257
"68","Walleye","Complex Warm Clear",8,523.136003920474,1.45610077023257,1.62954361015952
"69","Walleye","Complex Warm Clear",9,543.132923178078,1.62954361015952,1.78425532755505
"70","Walleye","Complex Warm Clear",10,559.804606012938,1.78425532755505,1.92048636305687
"71","Walleye","Complex Warm Clear",11,573.703997462473,1.92048636305687,2.03922700999285
"72","Walleye","Complex Warm Clear",12,585.292094751814,2.03922700999285,2.14188473250901
"73","Walleye","Complex Warm Clear",13,594.953237059719,2.14188473250901,2.2300597709805
"74","Walleye","Complex Warm Clear",14,603.007852788519,2.2300597709805,2.30539591534103
"75","Walleye","Complex Warm Clear",15,609.723087123237,2.30539591534103,NA
"76","Walleye","Complex Warm Dark",1,221.064568864613,0.109876552506676,0.253436298007042
"77","Walleye","Complex Warm Dark",2,292.083532319947,0.253436298007042,0.444879821019492
"78","Walleye","Complex Warm Dark",3,352.342503545719,0.444879821019492,0.668016028803935
"79","Walleye","Complex Warm Dark",4,403.471715188919,0.668016028803935,0.907498114671607
"80","Walleye","Complex Warm Dark",5,446.854405435332,0.907498114671607,1.15074616321288
"81","Walleye","Complex Warm Dark",6,483.664239824133,1.15074616321288,1.38838158395114
"82","Walleye","Complex Warm Dark",7,514.89706333127,1.38838158395114,1.61397632607299
"83","Walleye","Complex Warm Dark",8,541.397841735335,1.61397632607299,1.82354216073485
"84","Walleye","Complex Warm Dark",9,563.883521131592,1.82354216073485,2.01497325871548
"85","Walleye","Complex Warm Dark",10,582.962424030297,2.01497325871548,2.18753911667481
"86","Walleye","Complex Warm Dark",11,599.150706776995,2.18753911667481,2.34146349098394
"87","Walleye","Complex Warm Dark",12,612.886323530138,2.34146349098394,2.47759434451678
"88","Walleye","Complex Warm Dark",13,624.540874574332,2.47759434451678,2.59715598288763
"89","Walleye","Complex Warm Dark",14,634.42965951081,2.59715598288763,2.70156960409128
"90","Walleye","Complex Warm Dark",15,642.820207301891,2.70156960409128,NA
